lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
blight	noun	noun	a plant disease that causes withering, or something that damages or spoils an area	枯萎病；禍害	字面指植物病害，如 potato blight；引申可指造成破壞或衰敗的因素，如 urban blight。	Urban blight has left many buildings abandoned downtown.	都市的衰敗使市中心許多建築遭到廢棄。
blight	verb	verb	to cause severe harm or damage to something over a long period	破壞；使衰敗	常見被動語態 be blighted by，形容地區或事物長期受到某種問題的損害。	The neighborhood was blighted by years of neglect.	這個社區因多年的忽視而逐漸衰敗。
blink	verb	verb	to shut and open the eyes quickly, or to flash on and off	眨眼；閃爍	常見 blink one's eyes，也可形容燈光間歇閃爍，如 the cursor blinks。	He blinked in surprise when he heard the news.	他聽到這個消息時驚訝地眨了眨眼。
blink	noun	noun	a very short instant, or a quick opening and closing of the eyes	一瞬間；眨眼	常見 in the blink of an eye，表示極短的時間，語氣生動口語化。	The opportunity vanished in the blink of an eye.	這個機會在轉瞬間就消失了。
blockade	noun	noun	an action to seal off a place to prevent goods or people from entering or leaving	封鎖	常見軍事或政治語境，如 a naval blockade，指以武力或手段阻斷通行。	The navy imposed a blockade on the enemy port.	海軍對敵方港口實施了封鎖。
blockade	verb	verb	to seal off a place to prevent entry or exit	封鎖	常接受詞為地點，如 blockade a port/city，強調阻斷進出的行動。	Rebels blockaded the main road into the city.	叛軍封鎖了通往這座城市的主要道路。
blond	adjective	adjective	(especially of hair) light-colored, typically pale yellow	金髮的	多用於形容男性頭髮顏色；blonde 則常用於形容女性或作名詞，兩者拼法有性別區分傳統。	Their son has blond hair like his father.	他們的兒子和父親一樣有金色頭髮。
blond	noun	noun	a person, especially a man, with light-colored hair	金髮男子	作名詞時指金髮的人，傳統上 blond 指男性，blonde 指女性。	The blond in the photo is my cousin.	照片裡那位金髮男子是我表哥。
blonde	adjective	adjective	(especially of hair) light-colored, typically pale yellow	(女性)金髮的	傳統拼法用於形容女性頭髮，現代英語中兩種拼法也常交替使用而不嚴格區分。	She dyed her hair blonde last summer.	她去年夏天把頭髮染成了金色。
blonde	noun	noun	a woman with light-colored hair	金髮女子	作名詞時傳統上指金髮女性，現代用法也可泛指任何金髮的人。	The blonde at the front desk greeted us warmly.	櫃檯那位金髮女子熱情地迎接我們。
bloom	noun	noun	a flower, or the state of flowering; a period of peak health or beauty	花；盛開；全盛期	常見 in full bloom，也可比喻指人生或事物最美好的階段，如 the bloom of youth。	The roses are in full bloom this week.	玫瑰這星期正盛開。
bloom	verb	verb	(of a plant) to produce flowers; to flourish or reach a peak of development	開花；茁壯發展	字面指植物開花；比喻用法指人或事物蓬勃發展，如 her career bloomed。	Her talent bloomed after years of practice.	經過多年練習，她的天賦逐漸展現光芒。
blossom	verb	verb	(of a plant) to produce flowers, or to develop and flourish	開花；發展茁壯	字面用於植物開花；比喻用法常見 blossom into，指人或事物逐漸成長茁壯。	Their friendship blossomed into a lifelong partnership.	他們的友誼逐漸發展成終生的夥伴關係。
blouse	noun	noun	a loose-fitting upper garment worn by women	女用上衣；襯衫	通常指女性穿著的寬鬆上衣，材質多為輕薄布料，區別於男性穿的 shirt。	She wore a white blouse with a black skirt.	她穿了一件白色襯衫搭配黑色裙子。
blur	verb	verb	to become or make something unclear or difficult to see clearly	使模糊；變模糊	常見 blur the line between（模糊界線），也可指視覺上失焦，如 tears blurred her vision。	Tears blurred her vision as she read the letter.	讀信時，淚水模糊了她的視線。
blurt	verb	verb	to say something suddenly and without thinking	脫口而出	常見 blurt out，強調未經思考、衝動地說出話語，語氣帶輕微負面或尷尬意味。	He blurted out the secret before he could stop himself.	他忍不住脫口說出了這個秘密。
blush	verb	verb	(of a person's face) to become red, typically from embarrassment or shame	臉紅	常見 blush with embarrassment，形容因害羞或尷尬而臉部泛紅。	She blushed when he complimented her dress.	他稱讚她的衣服時，她臉紅了。
blush	noun	noun	a reddening of the face caused by embarrassment or shame	臉紅	常見 bring a blush to someone's cheeks，指臉部泛紅的現象本身。	A faint blush spread across her cheeks.	一抹淡淡的紅暈在她臉頰上浮現。
boast	noun	noun	an act of speaking with excessive pride about oneself or one's achievements	自誇；吹噓	常見 make a boast，指帶有炫耀意味的言論，語氣略帶負面。	His constant boasts about his wealth annoyed everyone.	他不斷炫耀自己的財富，讓大家都很反感。
bode	verb	verb	to be a sign of something, especially something bad, that will happen in the future	預示	常見固定搭配 bode well/ill for，表示對未來發展是好兆頭或壞兆頭。	The dark clouds bode ill for tomorrow's picnic.	烏雲密布，這對明天的野餐可不是好兆頭。
bogus	adjective	adjective	not genuine or legitimate; fake	假冒的；偽造的	常見 a bogus claim/company，語氣直接指出某事物具有欺騙性，屬較口語的用詞。	Police arrested him for running a bogus charity.	警方逮捕了他，因為他經營一個假慈善機構。
bohemian	noun	noun	a person, especially an artist or writer, who lives in an unconventional way	波希米亞人；不受拘束的藝術家	常指過著非傳統、追求自由生活方式的藝術工作者，帶浪漫色彩。	The neighborhood was once home to painters, poets, and other bohemians.	這個社區曾是畫家、詩人等自由不羈藝術家的聚集地。
bohemian	adjective	adjective	relating to or characteristic of an unconventional lifestyle, especially among artists	波希米亞風格的；不拘傳統的	常修飾 lifestyle 或 style，形容自由隨性、不受傳統束縛的生活態度或風格。	She has a bohemian style of dressing, mixing bright colors and patterns.	她的穿衣風格很波希米亞，混搭鮮豔的色彩與圖案。
boil	noun	noun	a painful, inflamed swelling on the skin containing pus	癤；膿瘡	醫學或日常用語，指皮膚上因感染形成的腫脹，與動詞「煮沸」義無關。	He had to see a doctor about a boil on his neck.	他因脖子上長了一顆癤而去看醫生。
boil	verb	verb	(of a liquid) to reach the temperature at which it turns to vapor, or to cook something in boiling water	煮沸；沸騰	常見 boil water、boil an egg，也可比喻指情緒激動，如 boil with anger。	Boil the pasta for about ten minutes.	把義大利麵煮沸約十分鐘。
bold	adjective	adjective	confident and courageous, or (of text) printed in a heavy typeface	大膽的；(字體)粗體的	可形容人勇於冒險的性格，也可指印刷字體的樣式，如 bold text，須依語境判斷。	It was a bold decision to leave her stable job and start a business.	辭去穩定的工作去創業，這是個大膽的決定。
bolster	noun	noun	a long, firm pillow placed under other pillows for support	長枕；靠枕	常見於床上用品，指置於一般枕頭下方作支撐用的長條枕。	She placed a bolster under her back for extra support.	她在背後墊了一個長枕以增加支撐。
bolster	verb	verb	to support, strengthen, or improve something	支撐；增強	常見 bolster confidence/economy，強調透過某種手段加強或鞏固既有的事物。	The new policy is designed to bolster the local economy.	這項新政策旨在振興當地經濟。
bolt	noun	noun	a metal pin used to fasten things together, or a sudden quick movement	螺栓；閃電般的行動	常見 nuts and bolts，也可指突然的快速動作，如 make a bolt for the door。	He tightened the bolts on the shelf with a wrench.	他用扳手把架子上的螺栓鎖緊。
bombardment	noun	noun	a sustained attack with bombs, shells, or (figuratively) an overwhelming amount of something	轟炸；(訊息等的)轟炸	字面指軍事上持續猛烈的攻擊；比喻用法常見 a bombardment of questions，指大量湧來的事物。	The city endured weeks of heavy bombardment.	這座城市承受了數週猛烈的轟炸。
bombastic	adjective	adjective	(of speech or writing) using inflated, pompous language to impress	誇大其詞的；浮誇的	常修飾 speech、rhetoric，語氣帶明顯負面評價，指言詞浮誇卻空洞。	The politician's bombastic speech failed to convince the skeptical crowd.	這位政治人物誇大其詞的演說未能說服心存懷疑的群眾。
bond	noun	noun	a close connection between people, or a certificate of debt issued by a government or company	聯繫；債券	可指人際間的情感連結（a bond of trust），也可指金融投資工具（government bonds），須視語境判斷。	They formed a strong bond during their time at university.	他們在大學期間建立了深厚的情誼。
bonus	noun	noun	an extra payment or benefit given in addition to what is expected	獎金；額外好處	常見 a Christmas bonus、an added bonus，指超出預期的額外報酬或優點。	Employees received a year-end bonus for their hard work.	員工們因辛勤工作而獲得年終獎金。
booklet	noun	noun	a small, thin book, usually with a paper cover	小冊子	常見於說明手冊、簡介文件，如 an information booklet，指頁數較少的小型書冊。	The museum provides a free booklet describing each exhibit.	博物館提供免費的小冊子介紹每件展品。
bookshop	noun	noun	a shop that sells books	書店	英式英語用詞，美式英語多用 bookstore，兩者意義相同。	She spent the whole afternoon browsing in the bookshop.	她整個下午都在書店裡瀏覽。
boom	noun	noun	a period of rapid economic growth, or a deep, loud sound	繁榮；(深沉的)轟隆聲	可指經濟蓬勃發展的時期（an economic boom），也可指低沉巨響，須依語境判斷。	The tech industry experienced a boom in the late 1990s.	科技產業在一九九零年代末經歷了一段蓬勃發展期。
boost	noun	noun	an increase or improvement in something, or an act of encouragement	提升；鼓舞	常見 a boost in sales/confidence，指數量或士氣上的提升。	The good news gave her confidence a real boost.	這個好消息大大提振了她的信心。
boost	verb	verb	to increase, improve, or raise the level of something	提升；提高	常見 boost morale/sales，強調使某事物的數值或水準提高。	The company launched a campaign to boost sales.	公司推出了一項活動來提升銷售量。
booth	noun	noun	a small enclosed structure or partitioned area used for a specific purpose	亭；隔間	常見 a phone booth、a voting booth，指用於特定用途的小型隔間或攤位。	They rented a booth at the trade show to display their products.	他們在商展租了一個攤位展示產品。
boulder	noun	noun	a large rock, typically one that has been worn smooth by erosion	大圓石；巨石	常見於自然地形描述，指體積龐大、經風化侵蝕而顯圓滑的岩石。	Hikers had to climb over a huge boulder blocking the trail.	登山客必須爬過一塊擋住步道的巨石。
bounce	noun	noun	the action of springing back after hitting a surface, or a lively quality	反彈；活力	字面指物體撞擊後彈起的動作；也可比喻形容人充滿活力的樣子，如 have a bounce in one's step。	The ball lost its bounce after years of use.	這顆球用了好幾年，已經彈不太起來了。
bounce	verb	verb	to spring back after hitting a surface	反彈；彈跳	常見 bounce off/back，也可比喻指經濟或情緒的回升，如 bounce back from failure。	The ball bounced off the wall and rolled away.	球撞到牆壁彈開後滾走了。
boundary	noun	noun	a line that marks the limits of an area, or a limit on behavior or ideas	邊界；界線	可指實際地理界線（a national boundary），也可比喻指行為或關係的限度，如 set boundaries。	It's important to set clear boundaries with your coworkers.	和同事之間設立清楚的界線很重要。
bourgeois	noun	noun	a member of the middle class, especially regarded as concerned with respectability and material values	中產階級人士	帶輕微負面評價色彩，常見於社會學或馬克思主義論述，指過度重視物質與體面的階層。	The novel satirizes the values of the bourgeois family.	這部小說諷刺了這個中產階級家庭的價值觀。
bourgeois	adjective	adjective	relating to or characteristic of the middle class, especially regarding materialism or conventionality	中產階級的；世俗保守的	常修飾 values、lifestyle，帶批判意味，暗指過於重視物質享受與傳統體面。	Critics accused the film of promoting bourgeois values.	評論家指責這部電影宣揚中產階級的價值觀。
bout	noun	noun	a short period of illness or activity, or a boxing/wrestling match	一陣(病痛)；一場(比賽)	可指疾病發作的一段時間（a bout of flu），也可指拳擊等對抗性比賽，須依語境判斷。	He suffered a bad bout of the flu last winter.	他去年冬天得了一場嚴重的流感。
bowel	noun	noun	the intestine, especially the lower part	腸；腸道	醫學常用詞，常見複數 bowels，如 bowel movement（排便），語氣較 gut 正式。	The doctor asked about his bowel movements during the checkup.	醫生在檢查時詢問了他的排便情況。
boycott	noun	noun	a refusal to buy, use, or participate in something as a form of protest	抵制	常見 call for a boycott，指集體拒絕與某對象往來以表達抗議。	The boycott of the company's products lasted several months.	對這家公司產品的抵制持續了好幾個月。
boycott	verb	verb	to refuse to buy, use, or participate in something as a form of protest	抵制	常見 boycott a product/company，強調主動拒絕參與或購買以示抗議。	Consumers boycotted the brand after the scandal.	醜聞爆發後，消費者抵制了這個品牌。
brace	noun	noun	a device that supports or strengthens something, such as a body part or structure	支架；托架	常見 a knee brace、dental braces，指用來支撐或固定的裝置。	She had to wear a back brace after the surgery.	手術後她必須戴上背部支架。
bracket	noun	noun	a category within defined limits, or a support fixed to a wall to hold something	範疇；托架	可指分類區間（tax bracket），也可指實體支撐物（a shelf bracket），須依語境判斷。	Most of my friends fall into the same income bracket.	我大多數朋友的收入都落在同一個級距。
braid	noun	noun	a length of hair or fabric formed by interweaving three or more strands	辮子；穗帶	常見 hair braid，指頭髮或布料經編織而成的長條狀物。	She wore her hair in a single long braid.	她把頭髮編成一條長長的辮子。
braid	verb	verb	to interweave three or more strands of hair, thread, or rope	編辮子；編織	常見 braid one's hair，指將多股材料交織編成辮狀。	Her mother braided her hair before school every morning.	她媽媽每天早上上學前都會幫她編辮子。
brake	noun	noun	a device used to slow down or stop a vehicle, or something that slows a process	剎車；阻礙	字面指交通工具的煞車裝置；比喻用法指抑制或減緩事物發展的因素，如 put the brakes on。	He hit the brake just in time to avoid the dog.	他及時踩下煞車，避免撞到那隻狗。
brand	noun	noun	a type of product manufactured by a particular company under a particular name	品牌；牌子	常見 a well-known brand，指企業用以區別產品的名稱或標誌。	This brand is known for its high-quality shoes.	這個品牌以高品質的鞋子聞名。
brand	verb	verb	to mark with a hot iron to show ownership, or to label someone unfairly with a negative description	打烙印於；貼上(負面)標籤	字面指用烙鐵標記牲畜；比喻用法指給人貼上不公正的標籤，如 be branded a liar。	The media branded him a traitor after the leak.	洩密事件後，媒體給他貼上了叛徒的標籤。
brandish	verb	verb	to wave or hold up something, especially a weapon, in a threatening or excited way	揮舞	常見 brandish a weapon/knife，強調帶有威脅性或激動情緒的揮動動作。	The robber brandished a knife and demanded money.	搶匪揮舞著刀子要求交出錢財。
brash	adjective	adjective	self-confident in a rude, overly assertive way	自負無禮的；魯莽的	常修飾 young man、attitude，帶負面評價，形容過於自信而顯得無禮或急躁。	His brash comments offended several colleagues.	他魯莽無禮的言論冒犯了好幾位同事。
brass	noun	noun	a yellow metal alloy of copper and zinc, or musical instruments made from it	黃銅；銅管樂器	可指金屬材質本身，也可指銅管樂器組（the brass section），須依語境判斷。	The trophy was made of polished brass.	這座獎盃是用磨亮的黃銅製成的。
brawl	noun	noun	a rough or noisy fight, typically in a public place	鬥毆；爭吵	常見 a bar brawl，指發生在公共場合、較為粗暴混亂的打鬥或爭執。	A brawl broke out between rival fans after the match.	比賽結束後，敵對球迷之間爆發了鬥毆。
brawl	verb	verb	to fight or quarrel in a noisy, rough way	鬥毆；吵架	常見 brawl in the street，強調肢體衝突且伴隨喧鬧的爭吵場面。	The two men brawled outside the bar.	這兩個男人在酒吧外鬥毆。
brazen	adjective	adjective	bold and shameless, without regard for the reactions of others	厚顏無恥的	常修飾 lie、attempt，強調毫不掩飾、不顧他人觀感的大膽行為，帶強烈負面評價。	It was a brazen attempt to deceive the public.	這是一次厚顏無恥地企圖欺騙大眾的行為。
brazen	verb	verb	to face or endure a difficult situation with bold confidence, despite feeling embarrassed	厚著臉皮應付	常見固定片語 brazen it out，指以無所謂的態度硬撐過尷尬或困難的處境。	Instead of apologizing, he decided to brazen it out.	他沒有道歉，而是決定厚著臉皮撐過去。
breach	noun	noun	an act of breaking a law, agreement, or code of conduct, or a gap in a barrier	違反；裂口	常見 a breach of contract/security，指未能履行義務或安全防護出現漏洞。	The company was sued for a breach of contract.	這家公司因違反合約而被告上法庭。
breakdown	noun	noun	a failure to function properly, or a detailed analysis of something	故障；崩潰；細目分析	可指機械或關係的失靈（a mental breakdown），也可指資料的詳細分類，如 a cost breakdown。	He suffered a nervous breakdown after months of stress.	他在數月的壓力下精神崩潰。
breakthrough	noun	noun	a sudden, important discovery or development that overcomes a previous obstacle	突破	常見 a scientific/medical breakthrough，指在困境或研究中取得重大進展。	Scientists announced a breakthrough in cancer treatment.	科學家宣布在癌症治療上取得了突破。
breed	noun	noun	a particular type of animal or plant developed through selective breeding	品種	常見 a breed of dog，也可比喻用於指某類人，如 a new breed of entrepreneur。	This breed of dog is known for its loyalty.	這個犬種以忠誠著稱。
breed	verb	verb	to keep animals for the purpose of producing offspring, or to cause something to develop	繁殖；引起	字面指飼養動物繁衍後代（breed horses）；比喻用法指造成某種情況，如 poverty breeds crime。	Poverty and inequality can breed resentment.	貧窮與不平等可能引發怨恨情緒。
breeze	noun	noun	a gentle wind, or something that is easy to do	微風；輕而易舉之事	字面指涼爽宜人的風；比喻用法 a breeze，指非常容易完成的事情，語氣口語化。	A cool breeze blew in from the ocean.	一陣涼爽的微風從海上吹來。
breeze	verb	verb	to move somewhere quickly and confidently, without difficulty	輕鬆地走；快速通過	常見 breeze through/into，強調毫不費力地完成或通過某事。	She breezed through the exam without much studying.	她幾乎沒怎麼讀書就輕鬆通過了考試。
bribe	noun	noun	money or a favor given to someone to influence their behavior dishonestly	賄賂	常見 offer/take a bribe，指以不正當手段換取利益的財物或好處。	The official was accused of accepting a bribe.	這名官員被指控收受賄賂。
bribe	verb	verb	to persuade someone to act dishonestly by giving them money or a favor	賄賂；收買	常見 bribe someone to do something，強調透過金錢誘使對方違背原則。	He tried to bribe the guard to let him through.	他試圖賄賂警衛讓他通過。
brick	noun	noun	a rectangular block of baked clay used for building	磚塊	常見 a brick wall/house，指建築材料，也可比喻形容人可靠，如 a real brick（少見用法，此處聚焦建材義）。	The house was built entirely of red brick.	這棟房子完全是用紅磚建造的。
brief	noun	noun	a document that summarizes the facts and legal points of a case, or a set of instructions	摘要；簡報	常見於法律文件（a legal brief）或工作指示（a project brief），指精簡概述重點的文件。	The lawyer prepared a detailed brief for the judge.	律師為法官準備了一份詳細的摘要。
brief	adjective	adjective	lasting only a short time, or concise	簡短的；短暫的	常見 a brief meeting、a brief explanation，形容時間短或內容精簡扼要。	She gave a brief summary of the report.	她對這份報告做了簡短的摘要。
brief	verb	verb	to give someone essential information or instructions before an important task	作簡報；下達指示	常見 brief someone on something，強調在任務執行前提供必要資訊。	The general briefed the troops before the mission.	將軍在任務開始前向部隊作了簡報。
brim	noun	noun	the upper edge of a container, or the projecting edge of a hat	邊緣；(帽子的)帽簷	常見 filled to the brim（滿到邊緣）、the brim of a hat，指容器頂端或帽子外緣。	He filled the cup to the brim with hot coffee.	他把杯子倒滿了熱咖啡，直到邊緣。
brim	verb	verb	to be completely full to the point of overflowing	滿溢；充滿	常見 brim with confidence/tears，形容情緒或液體滿溢欲出的狀態，語氣較文學化。	Her eyes brimmed with tears as she said goodbye.	她道別時眼中噙滿淚水。
brisk	verb	verb	to become lively or energetic	變得活潑；活躍起來	此動詞用法較少見，日常英語更常用形容詞 brisk 描述動作或步伐輕快，如 a brisk walk。	Trade tends to brisk up during the holiday season.	假期期間貿易活動往往變得活絡起來。
bristle	noun	noun	a short, stiff hair, especially on an animal or a brush	剛毛；鬃毛	常見於刷子或動物毛髮描述，如 the bristles of a toothbrush，指堅硬且短的毛狀物。	The bristles of the old brush had worn down.	這把舊刷子的刷毛已經磨損了。
bristle	verb	verb	(of hair) to stand up stiffly, especially in anger or fear; to react with anger	豎起；勃然大怒	字面指毛髮因驚嚇而豎起；比喻用法 bristle at/with，形容對批評或冒犯感到憤怒。	He bristled at the suggestion that he was wrong.	他對於自己出錯的說法感到十分不悅。
brittle	adjective	adjective	hard but easily broken; fragile	易碎的；脆弱的	字面形容物理材質易碎，如 brittle glass；也可比喻形容個性或關係脆弱敏感。	The old paper had become brittle with age.	這張舊紙因年代久遠而變得脆弱易碎。
broach	verb	verb	to raise a sensitive or difficult topic for discussion	提出(話題)；談及	常見 broach the subject of，強調小心謹慎地開啟一個可能敏感的話題。	She finally broached the subject of his drinking.	她終於提起了他喝酒的問題。
brochure	noun	noun	a small booklet or pamphlet containing information or advertising	小冊子；宣傳單張	常見 a travel brochure，指用來介紹產品、服務或旅遊地點的印刷品。	The travel agency handed out brochures about the tour.	旅行社發放了關於這趟旅遊的宣傳冊。
broil	verb	verb	to cook food by direct exposure to intense heat, or to become extremely hot	燒烤；酷熱	字面指用直火燒烤食物（broil a steak）；也可形容天氣極度炎熱，如 broiling in the sun。	We broiled the fish over an open flame.	我們用明火直接燒烤了這條魚。
bronze	noun	noun	a hard, brownish alloy of copper and tin, or an object made from it	青銅；青銅製品	常見 a bronze statue、bronze medal，指此合金材質或以此製成的物品。	The statue was cast in bronze.	這座雕像是用青銅鑄造的。
bronze	adjective	adjective	made of, or having the color of, bronze	青銅色的	常修飾 skin、medal，形容物體呈現金屬光澤的褐黃色。	Her skin had turned a deep bronze after the summer.	經過一個夏天，她的皮膚曬成了古銅色。
brood	noun	noun	a family of young animals, especially birds, produced at one time	一窩；一群(幼獸)	常見於鳥類或動物描述，指同一批孵化或生產的幼體。	The hen watched over her brood of chicks.	母雞照看著她那一窩小雞。
brood	verb	verb	to think deeply and anxiously about something troubling	沉思；憂慮	常見 brood over/about，強調反覆思考令人不安或煩惱的事，語氣帶負面情緒。	He tends to brood over his mistakes for days.	他常常為自己的錯誤悶悶不樂好幾天。
browse	verb	verb	to look through or read something casually without a specific purpose	瀏覽	常見 browse the internet/a store，強調隨意查看而非有目的地搜尋。	She browsed the bookstore for an hour without buying anything.	她在書店瀏覽了一個小時，什麼都沒買。
browse	noun	noun	an act of looking through something casually	瀏覽	名詞用法較少見，多見於固定搭配 have a browse，指隨意查看一下的動作。	I had a quick browse through the magazine while waiting.	我在等待時隨意翻閱了一下雜誌。
brutal	adjective	adjective	savagely violent, or unpleasantly direct and harsh	殘忍的；嚴酷的	可形容暴力行為（a brutal attack），也可形容言詞直白不留情面，如 brutal honesty。	The critic gave a brutal review of the new restaurant.	這位評論家對這家新餐廳的評論相當嚴苛。
brute	noun	noun	a cruel or violent person, or an animal	殘暴的人；野獸	常帶負面評價，形容行為粗暴殘忍之人，也可泛指動物（相對於人類）。	Her ex-husband was a brute who treated her badly.	她的前夫是個對她很不好的殘暴之人。
brute	adjective	adjective	relating to physical strength rather than intelligence or reasoning	純粹體力的；蠻力的	常見 brute force/strength，指單純依靠力量而非策略或智慧，語氣中性偏描述性。	They used brute force to break down the door.	他們用蠻力把門撞開了。
bubble	noun	noun	a thin, spherical film of liquid enclosing gas, or an unsustainable period of economic growth	泡泡；(經濟)泡沫	字面指氣泡（soap bubble）；比喻用法常見 a housing bubble，指不切實際的經濟繁榮現象。	The housing bubble eventually burst, causing prices to crash.	房市泡沫最終破裂，導致房價暴跌。
bubble	verb	verb	to form or produce bubbles, or to be full of a lively emotion	冒泡；洋溢(情緒)	字面指液體冒泡；比喻用法常見 bubble with excitement，形容情緒高漲難以抑制。	She was bubbling with excitement about the trip.	她對這趟旅行興奮得不得了。
buck	noun	noun	a dollar (informal), or an adult male deer	一塊錢(美元)；雄鹿	口語用法指美元，如 make a quick buck；也可指雄性鹿類動物，須依語境判斷。	He spent his last few bucks on a cup of coffee.	他把身上僅剩的幾塊錢花在一杯咖啡上。
buck	verb	verb	to resist or oppose something, especially a trend or authority	反抗；抵制	常見 buck the trend，指違背普遍趨勢或既定規則行事，語氣帶主動反抗意味。	The company decided to buck the trend and cut prices.	這家公司決定反其道而行，調降價格。
bucket	noun	noun	a round, open container with a handle, used for carrying liquids	桶；水桶	常見 a bucket of water，指日常用來裝水或其他液體的容器。	He filled the bucket with water to wash the car.	他把水桶裝滿水來洗車。
buckle	noun	noun	a metal fastener used to join the ends of a belt or strap	扣環；帶扣	常見於皮帶、鞋子上的金屬扣件，用來固定或連接兩端。	The buckle on his belt was engraved with his initials.	他皮帶上的扣環刻著他的姓名縮寫。
buckle	verb	verb	to fasten with a buckle, or to bend or collapse under pressure	扣緊；彎曲(變形)	字面指扣上皮帶等（buckle a belt）；比喻用法指因壓力而彎曲崩潰，如 buckle under pressure。	The old bridge buckled under the weight of the trucks.	這座舊橋在卡車的重量下彎曲變形。
buddy	noun	noun	a close friend, especially one who shares activities with you	好朋友；夥伴	口語用詞，語氣親切隨性，常見於美式英語，如 my old buddy。	He's been my best buddy since elementary school.	他從小學就是我最要好的朋友。
buggy	adjective	adjective	infested with insects	多蟲的；有蟲害的	口語用詞，形容食物或環境遭昆蟲侵擾，如 the room was buggy。	The old cabin was buggy and needed fumigation.	這間老舊小屋蟲害嚴重，需要進行燻蒸消毒。
buggy	noun	noun	a light, small carriage, typically drawn by one horse	輕便馬車；嬰兒車(美式用法)	傳統上指單馬拉的輕型馬車；美式英語中也可指嬰兒推車，相當於英式的 pram。	The old photograph showed a horse-drawn buggy on the street.	這張老照片顯示街上有一輛馬拉的輕便馬車。
bulb	noun	noun	a glass part of an electric lamp that produces light, or a round underground plant part	燈泡；球莖	可指照明用電燈泡（a light bulb），也可指植物地下儲存器官，如鬱金香的球根。	The bulb in the hallway needs replacing.	走廊裡的燈泡需要更換了。
bulge	noun	noun	a rounded swelling or protruding part on a surface	凸起；膨脹處	常見 a bulge in one's pocket，指表面因內容物而向外突出的部分。	He had a noticeable bulge in his jacket pocket.	他外套口袋裡有個明顯凸起的東西。
bulge	verb	verb	to swell or curve outward, especially due to pressure from within	凸出；鼓起	常見 bulge with/out，形容物體因內部壓力而向外膨脹突出。	Her suitcase bulged with all the souvenirs she had bought.	她的行李箱因裝滿買來的紀念品而鼓得滿滿的。
bulk	noun	noun	the majority or largest part of something, or great size or volume	大部分；體積	常見 the bulk of，指某事物中占絕大多數的部分，也可指物理上的龐大體積。	The bulk of the work has already been completed.	這項工作的大部分已經完成了。
bulk	verb	verb	to appear large or important, or to increase the size or thickness of something	顯得重要；增大	常見 bulk up，指增加體積或重量，尤其常用於健身語境（增肌）。	He started lifting weights to bulk up before the season.	他開始舉重，好在球季開始前增肌。
bull	noun	noun	an adult male of cattle or other large animals	公牛	常見於農場或牲畜語境，也可比喻用於金融市場，如 a bull market（牛市，此處聚焦動物本義）。	The bull charged at the fence when it saw the red flag.	公牛看到紅旗時朝柵欄衝了過去。
bulletin	noun	noun	a short official statement or announcement, especially about news or events	公告；快訊	常見 a news bulletin、a health bulletin，指簡短且正式發布的資訊或報告。	The hospital issued a bulletin about the patient's condition.	醫院發布了一份關於病患狀況的公告。
bump	noun	noun	a raised, uneven part of a surface, or a light blow or collision	腫塊；碰撞	字面指凸起的表面或撞擊造成的腫脹，如 a bump on the head，也可指輕微碰撞。	He got a bump on his forehead after hitting the cabinet.	他撞到櫃子後，額頭上腫了一個包。
bump	verb	verb	to knock against something with a jolt, or to accidentally meet someone	碰撞；(偶然)遇見	常見 bump into someone，既可指身體碰撞，也可比喻指意外遇到某人。	I bumped into an old friend at the grocery store.	我在雜貨店偶然遇到了一位老朋友。
bunch	noun	noun	a group of things of the same kind growing or fastened together, or an informal group of people	一束；一群(人)	常見 a bunch of flowers/grapes，也可口語指一群人，如 a bunch of friends。	She bought a bunch of bananas at the market.	她在市場買了一串香蕉。
bundle	noun	noun	a collection of things tied or wrapped together for carrying	捆；包裹	常見 a bundle of clothes/papers，指用繩索或包裝紙束在一起的一組物品。	He carried a bundle of firewood into the house.	他把一捆柴火搬進屋裡。
bundle	verb	verb	to tie or wrap things together, or to sell products together as a package	把...捆在一起；(將產品)搭售	字面指綁成一捆；商業用法指將多項商品或服務組合銷售，如 bundle software with a computer。	The company bundles internet and phone service into one package.	這家公司把網路和電話服務搭售成一個方案。
bungalow	noun	noun	a small house, typically having only one story	平房	常見於描述單層住宅的建築類型，語氣中性，多用於房地產或住宅語境。	They bought a small bungalow near the beach.	他們在海邊附近買了一間小平房。
buoy	noun	noun	a floating marker anchored in water to indicate a channel or hazard, or a life-saving float	浮標；救生圈	常見於航海或海上安全設備，如 a life buoy，指用來標示位置或協助漂浮的裝置。	The channel was marked with a series of buoys.	這條航道用一連串的浮標標示出來。
buoy	verb	verb	to keep something afloat, or to raise someone's spirits or hopes	使漂浮；鼓舞	字面指使物體浮於水面；比喻用法常見 buoy someone's spirits，指提振士氣或信心。	The good news buoyed the team's morale before the final game.	這個好消息在決賽前提振了球隊的士氣。
buoyant	adjective	adjective	able to float, or cheerful and optimistic	有浮力的；樂觀輕快的	字面形容物體能浮於水面；比喻用法形容心情愉快、充滿活力，如 a buoyant mood。	Despite the setback, she remained buoyant and hopeful.	儘管遭遇挫折，她依然保持樂觀開朗。
