lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
waft	verb	verb	to pass or cause to pass easily or gently through the air	飄散；飄浮	常接 waft through the air，多用於描述氣味或聲音輕柔地傳來，語氣文學性。	The smell of fresh bread wafted through the kitchen.	新鮮麵包的香氣飄散在廚房裡。
wagon	noun	noun	a four-wheeled vehicle for transporting goods, often pulled by animals	貨車；篷車	常見於歷史或鄉村情境，如 a covered wagon（篷車），泛指運貨用車輛。	Settlers traveled west in covered wagons pulled by oxen.	移民者乘坐由牛拉的篷車向西遷徙。
wail	verb	verb	to make a long, loud cry of pain, grief, or anger	哀號；痛哭	常見 wail in grief/pain，強調因悲傷或痛苦而發出的高聲哭喊，語氣強烈。	The baby wailed loudly until she was fed.	嬰兒放聲大哭，直到被餵飽為止。
waist	noun	noun	the part of the human body between the ribs and hips	腰；腰部	常見 wrap one's arms around someone's waist，也用於服裝尺寸描述，如 waist size。	He wrapped a belt tightly around his waist.	他把腰帶緊緊繫在腰上。
waiter	noun	noun	a man who serves food and drinks in a restaurant	（男）服務生	常見於餐廳情境，與 waitress（女服務生）相對，職業用語。	The waiter recommended the chef's special for dinner.	這位服務生推薦了主廚的晚餐特餐。
waitress	noun	noun	a woman who serves food and drinks in a restaurant	女服務生	常見於餐廳情境，與 waiter 為對應的性別用語，現今也常用 server 取代兩者。	The waitress refilled our glasses with water.	這位女服務生為我們的杯子續了水。
wallow	verb	verb	to lie or roll around in mud or water, or to indulge excessively in an emotion	打滾（於泥水中）；沉溺（於情緒）	字面義指動物在泥水中打滾；比喻用法如 wallow in self-pity（沉溺於自憐）。	He tends to wallow in self-pity after every setback.	他每次遭遇挫折後都容易陷入自憐之中。
wander	verb	verb	to walk around slowly without a fixed destination	閒逛；漫遊	常接 wander around/through，也可比喻指思緒飄移，如 his mind wandered。	They wandered through the old town for hours.	他們在這座老城區閒逛了好幾個小時。
ward	noun	noun	a separate room or area in a hospital, or a child under the protection of a guardian	（醫院）病房；被監護人	常見 a hospital ward（醫院病房），法律上也可指受監護的未成年人。	The patient was moved to a private ward after surgery.	這名病患術後被轉送到一間單人病房。
warden	noun	noun	an official responsible for supervising a particular place or activity	管理員；典獄長	常見 a prison warden（典獄長）、a traffic warden（交通督導員），依語境所指職責不同。	The prison warden enforced strict rules for all inmates.	這位典獄長對所有囚犯執行嚴格的規定。
wardrobe	noun	noun	a large cupboard for storing clothes, or a person's entire collection of clothes	衣櫃；（全部）衣服	常見 a walk-in wardrobe（步入式衣櫃），也可泛指某人所有的衣物，如 update one's wardrobe。	She organized her wardrobe by color.	她按顏色整理了自己的衣櫃。
warehouse	noun	noun	a large building for storing goods before they are sold or distributed	倉庫	常見 a storage warehouse，指用來存放貨物的大型建築，商業或物流用語。	The goods were kept in a warehouse before shipping.	這些貨物在出貨前被存放在一座倉庫裡。
warehouse	verb	verb	to store goods in a warehouse	把（貨物）存入倉庫	較少見，多用於物流或商業書面語境，強調將貨物存放的動作。	The company warehouses excess inventory near the port.	這家公司把多餘的庫存存放在港口附近的倉庫裡。
warfare	noun	noun	the activity of fighting a war, especially using particular weapons or methods	戰爭；作戰	常見 chemical warfare（化學戰）、guerrilla warfare（游擊戰），強調戰爭的方式或型態。	The two nations engaged in prolonged guerrilla warfare.	這兩個國家陷入了長期的游擊戰。
warrant	noun	noun	a legal document authorizing a specific action, such as an arrest or search	（逮捕、搜索）令狀	常見 a search warrant（搜索令）、an arrest warrant（逮捕令），法律正式用語。	Police obtained a warrant to search the suspect's house.	警方取得了搜索令以搜查嫌疑人的住所。
warranty	noun	noun	a written guarantee promising to repair or replace a product if necessary	保固；保證書	常見 under warranty（在保固期內），商業消費常用詞，與 warrant 拼法相近但意義不同。	The laptop comes with a two-year warranty.	這台筆記型電腦附有兩年保固。
warrior	noun	noun	a person who fights in a battle; a brave or experienced fighter	戰士；勇士	常見於歷史、文學情境，如 a fierce warrior，也可比喻指堅強奮鬥的人。	The ancient warriors were honored with a grand ceremony.	這些古代戰士獲得了一場盛大的儀式來表彰。
wary	adjective	adjective	feeling or showing caution about possible dangers or problems	謹慎的；提防的	常接 wary of，強調對潛在風險或問題保持警覺，語氣中性偏正式。	Investors remained wary of the volatile market.	投資人對這個動盪的市場依然保持謹慎。
waver	verb	verb	to be uncertain or hesitate between different opinions or actions	動搖；猶豫	常見 waver in one's resolve/support，強調決心或立場的不穩固，語氣書面。	His support for the plan began to waver under pressure.	在壓力之下，他對這項計畫的支持開始動搖。
waver	noun	noun	an unsteady or trembling movement, especially in one's voice	顫抖；動搖	較少見，常指聲音或動作的不穩定，如 a waver in her voice。	There was a slight waver in her voice as she spoke.	她說話時聲音略帶顫抖。
wean	verb	verb	to accustom a baby or young animal to food other than its mother's milk, or to make someone gradually stop relying on something	使斷奶；使戒除（依賴）	字面義指嬰兒斷奶；比喻用法如 wean someone off（讓某人逐漸戒除依賴）。	She is trying to wean her toddler off the pacifier.	她正試著讓幼兒戒掉奶嘴。
weary	adjective	adjective	feeling or showing extreme tiredness, especially after a long period of exertion	疲倦的；厭倦的	常接 weary of（對……感到厭倦），也可形容身體上的疲累，如 weary travelers。	After the long journey, the weary travelers finally reached home.	經過漫長的旅途，這些疲憊的旅人終於到家了。
weary	verb	verb	to become or make someone tired or bored	使疲倦；使厭煩	常接 weary of，強調因長時間承受或重複而感到疲乏或厭倦。	She grew weary of his constant complaints.	她對他不斷的抱怨感到厭煩。
weave	verb	verb	to form fabric by interlacing threads, or to move in a winding pattern	編織；穿梭	字面義指織布；比喻用法如 weave through traffic（在車陣中穿梭）。	The cyclist weaved skillfully through the busy traffic.	這名自行車騎士熟練地在繁忙的車陣中穿梭。
weave	noun	noun	the way in which threads are woven together in fabric	織法；編織方式	較少見，指布料經緯線交織的方式或紋理，常見於紡織業描述。	The scarf has a tight, intricate weave.	這條圍巾有著細密精緻的織法。
wedge	noun	noun	a piece of material with a pointed edge, thick at one end and thin at the other, used to secure or split something	楔子；三角形之物	常見 a wedge of cheese/cake（一角起司／蛋糕），也可指用來固定或分開物體的三角工具。	He used a wedge to keep the door open.	他用了一個楔子讓門保持開啟。
wedge	verb	verb	to fix something firmly in place with a wedge or by force	楔入；塞緊	常接 wedge something into/between，強調用力將物體固定或塞入狹小空間。	She wedged a book under the wobbly table leg.	她在搖晃的桌腳下塞了一本書來墊穩。
weep	verb	verb	to cry, especially silently or quietly	哭泣；流淚	語氣較 cry 更文學正式，常見 weep for joy/grief，強調情感深切的哭泣。	She wept quietly at the funeral.	她在葬禮上靜靜地哭泣。
weird	adjective	adjective	strange or unusual, especially in an unsettling way	怪異的；詭異的	口語常用詞，形容不尋常、令人感到不安或難以理解的事物。	There was something weird about the way he acted.	他的舉止有種說不出的怪異感。
welfare	noun	noun	the health, happiness, and safety of a person, or financial assistance given by the government to those in need	福祉；福利（金）	常見 child welfare（兒童福祉）、welfare benefits（社會福利金），依語境略有不同。	The organization works to improve the welfare of stray animals.	這個組織致力於改善流浪動物的福祉。
wetland	noun	noun	an area of land saturated with water, such as a marsh or swamp	濕地	生態學用語，常見 wetland conservation（濕地保育），泛指沼澤等長期積水的區域。	The wetland is home to many rare bird species.	這片濕地是許多稀有鳥類的棲息地。
whereby	adverb	adverb	by which; through which	藉以；憑藉（此）	正式書面用語，常見於法律或學術文件，引導子句說明方式或途徑。	They signed an agreement whereby both parties share the profits.	他們簽訂了一份協議，藉此讓雙方共享利潤。
whiff	noun	noun	a slight or brief smell of something	一絲氣味；一點跡象	常接 a whiff of，字面指淡淡的氣味，也可比喻指些微跡象，如 a whiff of scandal。	She caught a whiff of perfume as he walked by.	他走過時，她聞到了一絲香水味。
whiff	verb	verb	to have or produce a slight smell of something	散發出（淡淡的）氣味	較少見，常接 whiff of，強調輕微氣味的散發，語氣口語。	The kitchen whiffed of freshly baked bread.	廚房裡飄散著剛烤好麵包的香氣。
whimsical	adjective	adjective	playfully quaint or fanciful, especially in an appealing or amusing way	異想天開的；奇特有趣的	常修飾 design、story、person，強調帶有想像力和趣味性但不失怪誕的風格。	The children's book had a whimsical illustration style.	這本童書有著異想天開的插畫風格。
whip	noun	noun	a length of leather or cord used for driving animals or as punishment	鞭子	常見 crack a whip（甩鞭子），也可比喻指政黨中負責督導黨紀的人（政治用語 party whip）。	The rider cracked the whip to urge the horse forward.	騎士甩動鞭子催促馬兒向前奔跑。
whisper	noun	noun	a soft, quiet voice or sound, or a piece of gossip	耳語；低語聲；謠言	常見 speak in a whisper（用耳語說話），也可指未經證實的傳言，如 whispers of a merger。	She spoke in a whisper so as not to wake the baby.	她用耳語說話以免吵醒嬰兒。
whisper	verb	verb	to speak very quietly using one's breath rather than one's throat	低聲說；耳語	常接 whisper something to someone，強調壓低聲音、不使他人聽見的說話方式。	He whispered the secret into her ear.	他在她耳邊低聲說出了這個秘密。
whistle	noun	noun	a device used to produce a shrill sound, or the sound itself	哨子；哨聲	常見 blow a whistle（吹哨），字面指器具，也指其發出的聲音本身。	The referee blew his whistle to signal the foul.	裁判吹響哨子示意犯規。
whittle	verb	verb	to carve wood by cutting small slices from it, or to gradually reduce something	削（木頭）；逐漸削減	字面義指用刀削木頭；比喻用法如 whittle down a list（逐步縮減清單）。	He whittled a small figure out of a piece of wood.	他用一塊木頭削出了一個小雕像。
wholesome	adjective	adjective	conducive to or promoting physical, mental, or moral well-being	有益健康的；正派的	常修飾 food、entertainment、lifestyle，強調對身心有益且合乎道德的性質。	The film promotes wholesome family values.	這部電影提倡有益身心的家庭價值觀。
wicked	adjective	adjective	morally wrong or bad, or (informal) excellent	邪惡的；（口語）超讚的	傳統義指道德敗壞；現代口語中也可作正面誇獎，如 that's wicked!（那太酷了！）。	The wicked witch cast a curse on the village.	這名邪惡的女巫對這座村莊下了詛咒。
widespread	adjective	adjective	found or distributed over a large area or number of people	廣泛的；普遍的	常修飾 belief、damage、use，強調影響範圍或分布程度極廣，語氣書面。	The disease caused widespread panic across the country.	這場疾病在全國引發了廣泛的恐慌。
widow	noun	noun	a woman whose spouse has died and who has not remarried	寡婦	常見於法律或社會描述，指配偶去世且尚未再婚的女性。	She became a widow at a young age after her husband's accident.	她在丈夫因意外過世後，年紀輕輕就成了寡婦。
widow	verb	verb	to cause someone to become a widow or widower	使守寡；使喪偶	較少見，常見被動語態 be widowed，指因配偶死亡而成為寡婦或鰥夫。	She was widowed after only five years of marriage.	她結婚僅五年就喪偶了。
width	noun	noun	the measurement or extent of something from side to side	寬度	常見 width and length（寬與長），日常度量用語，與 length、height 並列。	Please measure the width of the doorway before buying the sofa.	買沙發之前請先測量一下這扇門的寬度。
wilderness	noun	noun	an uncultivated, uninhabited region, especially a wild natural area	荒野；未開發之地	常見 an untouched wilderness，強調人跡罕至、未經開發的自然環境。	They hiked through miles of untouched wilderness.	他們徒步穿越了數英里未經開發的荒野。
wildlife	noun	noun	animals living wild in a natural environment	野生動物	集合名詞，常見 wildlife conservation（野生動物保育），泛指自然環境中的動物。	The national park is known for its diverse wildlife.	這座國家公園以其多樣的野生動物聞名。
willful	adjective	adjective	deliberate or intentional, especially when causing harm, or stubbornly determined to have one's own way	蓄意的；任性固執的	常修飾 misconduct（蓄意的不當行為），也可形容人固執己見、不聽勸阻。	The judge ruled it a case of willful negligence.	法官裁定這是一起蓄意疏失的案件。
wilt	verb	verb	(of a plant) to become limp through heat or lack of water, or (of a person) to lose energy	（植物）枯萎；（人）精神萎靡	字面義指植物因缺水或高溫而萎蔫；比喻用法可形容人失去活力或信心。	The flowers wilted in the afternoon heat.	這些花在下午的高溫下枯萎了。
wilt	noun	noun	a plant disease causing wilting, or an instance of wilting	枯萎（病）	較少見，多用於植物病理學情境，指導致植物萎蔫的病害或狀態。	The plants showed early signs of wilt disease.	這些植物顯現出枯萎病的早期徵兆。
wince	verb	verb	to make a slight involuntary movement of the face in pain or distress	（因痛苦而）畏縮；皺眉	常接 wince at/with pain，強調因疼痛或不悅而做出的短暫表情反應。	He winced as the nurse gave him the injection.	護理師為他注射時，他不禁畏縮了一下。
wince	noun	noun	a slight involuntary facial movement expressing pain or distress	（痛苦的）畏縮表情	較少見，指因疼痛或不悅而產生的短暫表情，常與 wince 動詞搭配使用。	She gave a wince as she stepped on the broken glass.	她踩到碎玻璃時露出了痛苦畏縮的表情。
wistful	adjective	adjective	having or showing a feeling of vague or regretful longing	若有所思的；惆悵的	常修飾 look、smile，強調帶有淡淡遺憾或懷念之情的神態，語氣文學性。	She gave a wistful smile as she recalled her childhood.	她回想起童年時露出了若有所思的微笑。
witch	noun	noun	a woman thought to have magic powers, especially evil ones	女巫	常見於童話或傳說情境，如 a wicked witch，也可比喻指令人畏懼的女性（帶貶義，較少見）。	In the fairy tale, the witch lived in a candy house.	在這個童話故事裡，女巫住在一棟糖果屋裡。
withdraw	verb	verb	to remove or take something back, or to leave a place or activity	撤回；提取（款項）；退出	常見 withdraw money（提款）、withdraw from a competition（退出比賽），依語境有不同用法。	She withdrew a large sum of cash from her account.	她從帳戶裡提領了一大筆現金。
withdrawal	noun	noun	the act of withdrawing, especially money from an account or from a substance one is addicted to	提款；撤回；戒斷（症狀）	常見 a cash withdrawal（提款）、withdrawal symptoms（戒斷症狀），依語境指涉不同。	He made a withdrawal from the ATM before the trip.	他在旅行前從自動提款機領了錢。
withhold	verb	verb	to refuse to give something that is due or requested	扣留；保留（不給）	常見 withhold information/payment，強調故意不提供應給予的事物，語氣正式。	The company withheld payment until the work was completed.	這家公司在工作完成之前一直扣留款項不付。
witness	noun	noun	a person who sees an event, especially a crime, or someone who gives evidence in court	目擊者；證人	常見 an eyewitness（目擊證人），法律及日常情境皆常見。	The witness described the suspect to the police.	這名目擊者向警方描述了嫌疑人的樣貌。
wobble	verb	verb	to move unsteadily from side to side	搖晃；晃動	常見 the table wobbles，也可比喻指決心或立場的不穩固，如 her voice wobbled。	The old chair wobbled every time he sat down.	他每次坐下時，那張舊椅子都會搖晃。
wobble	noun	noun	an unsteady movement from side to side	搖晃；不穩定的擺動	較少見，指物體或聲音不穩定的擺動狀態，與動詞用法對應。	There's a slight wobble in the front wheel of the bike.	這輛腳踏車的前輪有點輕微的搖晃。
wool	noun	noun	the fine soft curly hair forming the coat of a sheep or goat, or fabric made from this	羊毛；羊毛製品	常見 pure wool（純羊毛）、a wool sweater（羊毛衣），紡織品常用材質詞。	This sweater is made of pure merino wool.	這件毛衣是用純美麗諾羊毛製成的。
worldwide	adjective	adjective	extending or applying throughout the world	全球性的；世界性的	常修飾 phenomenon、network、sales，強調範圍涵蓋全世界，語氣中性書面。	The company has a worldwide network of distributors.	這家公司擁有一個遍布全球的經銷商網絡。
worm	noun	noun	a long, thin, soft-bodied invertebrate animal with no limbs, or a type of computer malware	蟲；蠕蟲（電腦病毒）	字面義指無足軟體動物；資訊科技語境則指自我複製的惡意程式。	The gardener found several worms while digging in the soil.	這位園丁在挖土時發現了好幾條蟲。
worship	noun	noun	the feeling or expression of reverence and adoration for a deity	崇拜；敬拜	常見 places of worship（禮拜場所），宗教語境常用詞，也可比喻指過度崇拜某人。	They gathered at the temple for worship every Sunday.	他們每週日都聚集在寺廟裡進行敬拜。
worship	verb	verb	to show reverence and adoration for a deity, or to admire someone excessively	敬拜；崇拜	常見 worship God，也可比喻指過度崇拜某人，如 worship a celebrity。	Millions of pilgrims travel each year to worship at the shrine.	每年有數百萬朝聖者前往這座聖殿敬拜。
worthwhile	adjective	adjective	worth the time, money, or effort spent; useful or beneficial	值得的；有意義的	常接 it's worthwhile to do something，強調投入的心力或資源能獲得相應的價值。	Learning a new language is always worthwhile.	學習一門新語言永遠是值得的。
worthy	noun	noun	a person who is important or notable, often used ironically	（常帶諷刺意味的）名人；顯要人物	較少見，多帶輕微諷刺或戲謔語氣，指自認重要或受尊崇的人物。	Local worthies gathered for the ribbon-cutting ceremony.	當地的顯要人物齊聚一堂參加剪綵儀式。
worthy	adjective	adjective	deserving effort, attention, or respect	值得的；配得上的	常接 worthy of，強調某事物或某人應得的尊重或關注，語氣正式。	Her achievements are worthy of recognition.	她的成就值得受到肯定。
wrap	noun	noun	a piece of material used for wrapping something, or a type of sandwich rolled in a flatbread	包裝材料；捲餅（三明治）	字面義指用來包裹物品的材料；食物語境則指用薄餅捲起的三明治。	She ordered a chicken wrap for lunch.	她點了一份雞肉捲餅當午餐。
wrap	verb	verb	to cover something by folding or winding material around it	包裹；包裝	常見 wrap a gift（包裝禮物），也可比喻指圍繞或包覆某物。	She wrapped the present in colorful paper.	她用彩色的紙包裝了這份禮物。
wreak	verb	verb	to cause a large amount of damage or harm	造成（嚴重傷害或破壞）	常見固定搭配 wreak havoc（造成大混亂），語氣書面，幾乎只與 havoc、damage 等詞連用。	The storm wreaked havoc on the coastal town.	這場暴風雨對這座沿海小鎮造成了嚴重破壞。
wrench	noun	noun	a tool for gripping and turning nuts and bolts, or a sudden violent twist, or a painful feeling of loss	扳手；猛扭；（離別的）痛楚	字面義指工具或動作；比喻用法指離別造成的情感痛苦，如 it was a wrench to leave。	Leaving her hometown was a real wrench for her.	離開故鄉對她來說真的是件痛苦的事。
wrench	verb	verb	to pull or twist something suddenly and violently	猛拉；扭傷	常見 wrench something free/open，也可指身體部位扭傷，如 wrench one's ankle。	He wrenched the door open with all his strength.	他用盡全力猛力把門扭開。
wrestle	verb	verb	to fight by grappling with an opponent, or to struggle to deal with a difficult issue	摔角；搏鬥；努力應付（難題）	字面義指運動摔角；比喻用法如 wrestle with a decision（為某個決定苦惱掙扎）。	She wrestled with the decision for weeks before quitting her job.	在辭職之前，她為這個決定苦惱掙扎了好幾個星期。
wrestle	noun	noun	a fight or contest involving grappling with an opponent	摔角比賽；搏鬥	較少見，指摔角這項運動或一場搏鬥的過程，與動詞用法對應。	The two boys had a friendly wrestle in the yard.	這兩個男孩在院子裡進行了一場友善的摔角。
wrist	noun	noun	the joint connecting the hand with the forearm	手腕	常見 sprain one's wrist（扭傷手腕），日常身體部位用詞。	She sprained her wrist while playing tennis.	她打網球時扭傷了手腕。
yacht	noun	noun	a medium-sized sailing boat used for racing or cruising	遊艇；帆船	常見 sail a yacht，多與休閒航海或富裕生活方式連結。	They spent the summer sailing their yacht around the coast.	他們整個夏天都駕著遊艇沿海岸航行。
yacht	verb	verb	to sail or cruise in a yacht	駕遊艇航行	較少見，動詞用法，指乘坐遊艇進行航行或度假的活動。	They yachted along the Mediterranean coast for two weeks.	他們沿著地中海海岸駕遊艇航行了兩週。
yell	verb	verb	to shout loudly, especially in anger, pain, or excitement	大叫；吼叫	常接 yell at someone，強調因情緒激動而發出的大聲喊叫，語氣強烈。	He yelled at the driver who cut him off.	他對那個超車搶道的駕駛大吼。
yield	noun	noun	the amount produced of a crop, product, or investment	產量；收益	常見 crop yield（作物產量）、bond yield（債券收益率），農業與財務用語。	Farmers reported a higher yield this harvest season.	農民表示這個收穫季的產量較高。
yield	verb	verb	to produce or provide something, or to give way to pressure or demand	產生；讓步	常見 yield a profit（產生利潤）、yield to pressure（屈服於壓力），依語境不同。	The negotiations finally yielded a compromise.	這場談判最終產生了一項折衷方案。
youngster	noun	noun	a young person or child	年輕人；小孩	口語用詞，泛指兒童或青少年，語氣親切隨意，常見於日常對話。	The youngsters played happily in the park all afternoon.	這些小孩整個下午都在公園裡開心地玩耍。
zealot	noun	noun	a person who is fanatical and uncompromising in pursuit of their beliefs	狂熱分子；激進份子	常帶負面意味，形容對信仰或理念過度執著、不知變通的人，語氣書面正式。	The religious zealot refused to consider any other viewpoint.	這名宗教狂熱分子拒絕考慮任何其他觀點。
zone	noun	noun	an area or region with particular characteristics or boundaries	區域；地帶	常見 a time zone（時區）、a war zone（戰區），泛指具有特定性質或界線的區域。	The city created a pedestrian-only zone downtown.	這座城市在市中心規劃了一個行人專用區。
