lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
groan	verb	verb	to make a deep, low sound expressing pain, unhappiness, or disapproval	呻吟；抱怨	常接 with，如 groan with pain；也可指口語上的抱怨，如 groan about the traffic。	The patient groaned in pain as the nurse changed his bandage.	護士換繃帶時，病人痛苦地呻吟著。
groom	noun	noun	a man who is about to be or has just been married, or a person who cares for horses	新郎；馬夫	常見 the bride and groom（新娘與新郎）；也指專門照料馬匹的人。	The groom looked nervous as he waited at the altar.	新郎在聖壇前等待時看起來很緊張。
groom	verb	verb	to clean and brush an animal's fur, or to prepare someone for a particular role or position	替（動物）梳理毛髮；栽培、培養（某人擔任特定職位）	常見 groom a horse；比喻用法如 groom someone for leadership（培養某人成為領導者）。	The company has been grooming her for a leadership role.	這家公司一直在培養她擔任領導職位。
gross	adjective	adjective	total, before deductions; or (informally) very unpleasant or disgusting	總計的（未扣除前）；（口語）令人作嘔的	常見 gross income（總收入，與 net income 相對）；口語 that's gross! 表示噁心。	Her gross salary is higher than her take-home pay after taxes.	她的總薪資高於扣稅後實際到手的薪資。
grotesque	adjective	adjective	comically or repulsively distorted or exaggerated in appearance	怪誕的；醜怪的；荒誕可笑的	常修飾 figure、image 等，強調外形扭曲怪異，語氣書面。	The sculpture depicted a grotesque, twisted figure.	這座雕塑描繪了一個怪誕扭曲的人形。
grudge	noun	noun	a persistent feeling of ill will or resentment resulting from a past insult or injury	怨恨；宿怨	常見 hold a grudge（懷恨在心）、bear a grudge against someone。	She still holds a grudge against her former business partner.	她對前生意夥伴仍然懷恨在心。
grudge	verb	verb	to give or allow something reluctantly or resentfully	不甘願地給予；勉強容許	常接 someone something，如 grudge him his success（不甘願承認他的成功）。	I don't grudge him his success; he worked hard for it.	我不嫉妒他的成功；他為此付出了很多努力。
grueling	adjective	adjective	extremely tiring and demanding	折磨人的；使人筋疲力竭的	常修飾 schedule、training、race 等，如 a grueling marathon，強調過程極度辛苦。	The soldiers completed a grueling training exercise in the desert.	士兵們在沙漠中完成了一次折磨人的訓練演習。
gruesome	adjective	adjective	causing repulsion or horror; horrific	令人毛骨悚然的；駭人的	常修飾 crime scene、discovery 等，強調視覺上令人反感的恐怖，如 grisly 為近義詞。	The film contains several gruesome scenes of violence.	這部電影包含好幾幕令人毛骨悚然的暴力場景。
grumble	noun	noun	a complaint expressed in a low, muttering voice	抱怨；牢騷	常見 with a grumble（帶著抱怨），指低聲的不滿。	There were a few grumbles from staff about the new schedule.	員工們對新的班表發出了一些抱怨。
grumble	verb	verb	to complain in a low, muttering voice about something	抱怨；發牢騷	常接 about，如 grumble about the weather；語氣較輕微，通常不是激烈爭吵。	He grumbled about having to work on the weekend.	他抱怨要在週末工作。
guarantee	noun	noun	a formal promise or assurance that something will be done or that a product will meet certain standards	保證；擔保；保固	常見 a money-back guarantee（退款保證）；也指口頭或書面的承諾。	The product comes with a two-year guarantee.	這項產品附有兩年的保固。
guarantee	verb	verb	to give a formal assurance that something will happen or be provided	保證；擔保	常接 that 子句或名詞，如 guarantee success；也可指法律上的擔保責任。	The company guarantees that all repairs will be completed within a week.	該公司保證所有維修將在一週內完成。
guild	noun	noun	an association of people with similar interests or professions, especially in medieval times or in a modern craft context	公會；行會；同業工會	常見 the Writers Guild（作家工會）；歷史脈絡中指中世紀的手工業者組織。	She joined a local artists' guild to network with other painters.	她加入了當地的藝術家公會，藉此與其他畫家交流。
guile	noun	noun	cunning or clever deception used to achieve one's aims	狡詐；奸計	常見 with guile（狡猾地）；也可用於正面語境，指機智靈巧地達成目的。	He used guile rather than force to win the negotiation.	他靠機智狡黠而非強硬手段贏得了這場談判。
guilt	noun	noun	the fact of having committed an offense, or a feeling of having done wrong	罪責；內疚感	常見 feel guilt（感到內疚）、admit guilt（承認有罪），視語境指法律上的罪責或心理上的內疚。	She felt a deep sense of guilt after forgetting her friend's birthday.	忘了朋友生日後，她感到深深的內疚。
guilty	adjective	adjective	responsible for a crime or wrongdoing, or feeling guilt	有罪的；內疚的	常見 plead guilty（認罪）、feel guilty（感到內疚），兩種意思都很常見，需依上下文判斷。	He was found guilty of fraud after a lengthy trial.	經過漫長的審判，他被判犯有詐欺罪。
gulf	noun	noun	a large area of sea partly surrounded by land, or a wide difference between two things	海灣；（觀點或處境的）鴻溝	常見 the Gulf of Mexico（墨西哥灣）；比喻用法如 a gulf between generations（世代之間的鴻溝）。	There is a huge gulf between the rich and the poor in that country.	那個國家的貧富差距十分懸殊。
gull	noun	noun	a common seabird with white or gray feathers	海鷗	常見於海邊描寫，如 seagulls circling the beach。	Seagulls circled overhead, waiting for scraps of food.	海鷗在空中盤旋，等著撿食殘渣。
gull	verb	verb	to deceive or trick someone	欺騙；愚弄	較少見用法，語氣文學或古舊，日常口語更常用 fool 或 deceive。	The con artist gulled several elderly victims out of their savings.	這名詐騙犯騙走了好幾位老年受害者的積蓄。
habitat	noun	noun	the natural environment in which a plant or animal normally lives	棲息地	常見 natural habitat（自然棲息地），環境或生態議題常見詞彙。	Deforestation is destroying the natural habitat of many species.	森林砍伐正在破壞許多物種的自然棲息地。
hackneyed	adjective	adjective	(of a phrase or idea) overused and lacking original thought	陳腔濫調的；老套的	常修飾 phrase、plot 等，指因過度使用而失去新意，語氣帶批評意味。	The movie relied on a hackneyed plot about a chosen hero.	這部電影仰賴一個關於天選英雄的老套劇情。
hail	noun	noun	small balls or pellets of ice that fall as precipitation	冰雹	氣象用語，常見 a hailstorm（冰雹暴）；比喻用法如 a hail of bullets（如冰雹般的子彈）。	The hail damaged several cars parked outside.	冰雹損壞了好幾輛停在外面的車。
hail	verb	verb	to greet or acclaim someone enthusiastically, or (of hail) to fall as precipitation	讚揚；歡呼致意；（冰雹）落下	常見 be hailed as（被譽為），表示公開讚揚某人的成就。	The scientist was hailed as a pioneer in her field.	這位科學家被譽為該領域的先驅。
hale	adjective	adjective	(especially of an elderly person) strong and healthy	（尤指老年人）健壯的；矍鑠的	多見於固定片語 hale and hearty（身體硬朗），日常口語較少單獨使用。	Despite being ninety, my grandfather is still hale and hearty.	儘管已經九十歲，我祖父依然身體硬朗。
hallucination	noun	noun	a perception of something that is not actually present, often caused by illness or drugs	幻覺	醫學或心理學用語，常見 auditory hallucination（幻聽）、visual hallucination（幻視）。	The patient reported experiencing vivid hallucinations during the fever.	病人表示發燒期間出現了鮮明的幻覺。
hallway	noun	noun	a corridor or passage inside a building	走廊；玄關	常見於建築描述，如 down the hallway；比 corridor 更口語常用（尤其美式英語）。	The children ran down the hallway to catch the school bus.	孩子們沿著走廊跑去趕校車。
halt	verb	verb	to stop moving or operating, or to cause something to stop	（使）停止；（使）停下	常接 to a halt（停下來），也可指抽象事物的停止，如 halt production。	Production was halted due to a shortage of materials.	由於材料短缺，生產被迫停止。
hammer	noun	noun	a hand tool with a heavy metal head used for driving nails or breaking things	鐵鎚；槌子	常見 a hammer and nails；比喻用法如 come down like a hammer（嚴厲對待）。	He used a hammer to fix the loose fence post.	他用鐵鎚把鬆脫的圍籬柱修好。
hamper	noun	noun	a large basket with a lid, used for carrying food or storing laundry	（有蓋的）籃子；洗衣籃；食物籃	常見 a picnic hamper（野餐籃）、a laundry hamper（洗衣籃）。	They packed sandwiches and fruit into the picnic hamper.	他們把三明治和水果裝進野餐籃裡。
hamper	verb	verb	to hinder or delay the progress or movement of something	阻礙；妨礙	常接名詞受詞，如 hamper efforts、hamper progress，語氣正式。	Heavy snowfall hampered rescue efforts in the mountains.	大雪阻礙了山區的救援行動。
hamstring	noun	noun	any of the tendons at the back of the knee	膕繩肌腱；大腿後側肌腱	運動醫學用語，常見 pull a hamstring（拉傷腿後肌腱）。	The runner pulled his hamstring during the final stretch of the race.	這名跑者在比賽最後一段拉傷了腿後肌腱。
hamstring	verb	verb	to severely restrict or handicap someone or something	嚴重限制；使無法有效運作	比喻用法，常見 be hamstrung by（因……而受到嚴重限制）。	The new regulations hamstrung small businesses trying to expand.	新法規嚴重限制了試圖擴張的小型企業。
handful	noun	noun	a small quantity of something, or a person or group that is difficult to control	一把（的量）；少數；難以管教的人	常見 a handful of people（少數人）；口語 he's a handful 指某人很難帶或很難搞。	Only a handful of students showed up for the early class.	只有少數學生出席了那堂早課。
handicap	noun	noun	a condition that limits a person's physical or mental abilities, or a disadvantage that makes success more difficult	（身心）障礙；不利條件	現代用語常改用 disability 描述身心障礙以避免歧視意味；handicap 較常見於高爾夫球的讓桿制度。	Losing his sight was a serious handicap in his career as a pilot.	失明對他的飛行員生涯而言是一項嚴重的障礙。
handicap	verb	verb	to put someone at a disadvantage	使處於不利地位；阻礙	常用被動語態 be handicapped by，語氣正式。	The team was handicapped by the absence of its star player.	這支隊伍因缺少王牌球員而處於不利地位。
handy	adjective	adjective	convenient to use or reach; skillful with one's hands	方便的；順手的；手巧的	常見 come in handy（派上用場）；也可形容人手很巧，如 he's handy with tools。	This little tool always comes in handy for quick repairs.	這個小工具總是能在快速維修時派上用場。
harassment	noun	noun	aggressive pressure or intimidation, often repeated or unwanted	騷擾	常見 sexual harassment（性騷擾）、workplace harassment（職場騷擾），語氣正式且嚴肅。	The company adopted a strict policy against workplace harassment.	這家公司採取嚴格政策禁止職場騷擾。
harbor	noun	noun	a sheltered area of water where ships can dock safely	港口；海港	美式拼法，常見 a natural harbor（天然港口）；英式拼法為 harbour。	The fishing boats returned to the harbor before the storm hit.	漁船在暴風雨來襲前返回港口。
harbor	verb	verb	to keep a thought or feeling secretly in one's mind, or to give shelter to someone	心懷（想法或情感）；藏匿；庇護	常接抽象名詞，如 harbor doubts、harbor a grudge；也可指窩藏罪犯。	She harbored resentment toward her brother for years.	多年來她一直對哥哥心懷怨恨。
harbour	noun	noun	a sheltered area of water where ships can dock safely	港口；海港	英式拼法，與美式 harbor 意思相同；英國、澳洲等地慣用此拼法。	The ships took shelter in the harbour during the storm.	船隻在暴風雨期間躲進港口避難。
harbour	verb	verb	to keep a thought or feeling secretly in one's mind, or to give shelter to someone	心懷（想法或情感）；藏匿；庇護	英式拼法，與美式 harbor 用法相同。	He harboured suspicions about his colleague's honesty.	他對同事的誠信心存懷疑。
hardware	noun	noun	the physical components of a computer system, or metal tools and equipment	（電腦）硬體；五金器具	常見 computer hardware（電腦硬體，與 software 相對）；也指五金行販售的工具用品。	The store sells both computer hardware and gardening tools.	這家店同時販售電腦硬體和園藝工具。
harm	verb	verb	to cause physical or other injury or damage to someone or something	傷害；損害	常接人或事物作受詞，如 harm the environment；也常見 do no harm（不造成傷害）。	The chemical spill could harm local wildlife.	這起化學品外洩事件可能會傷害當地野生動物。
harmful	adjective	adjective	causing or likely to cause harm	有害的；造成傷害的	常接 to，如 harmful to health（對健康有害），常見於環境、健康議題。	Excessive sun exposure can be harmful to your skin.	過度曝曬會對皮膚造成傷害。
harmony	noun	noun	a state of agreement or peaceful coexistence, or a pleasing combination of musical notes	和諧；和睦；（音樂上的）和聲	常見 live in harmony（和睦相處）；音樂脈絡指多個音符搭配產生的和聲效果。	The community worked hard to live in harmony despite their differences.	儘管有分歧，這個社區仍努力和睦相處。
harness	noun	noun	a set of straps used to control an animal or secure a person, such as in a safety device	（動物的）挽具；（人的）安全帶、安全帶裝置	常見 a safety harness（安全吊帶）、a dog harness（狗的胸背帶）。	Climbers must wear a safety harness at all times.	攀岩者必須隨時配戴安全吊帶。
harness	verb	verb	to control and make use of natural resources, especially to produce energy	利用；控制（自然資源以產生能量）	常見 harness solar power（利用太陽能）；比喻用法如 harness one's talents。	The dam was built to harness the power of the river.	這座水壩是為了利用河流的能量而建造的。
harp	noun	noun	a large stringed musical instrument played by plucking with the fingers	豎琴	音樂用語，常見於古典或民謠音樂的伴奏樂器。	She learned to play the harp when she was a child.	她小時候學會了彈豎琴。
harp	verb	verb	to talk repeatedly and tediously about the same subject	喋喋不休地談論（同一件事）	固定片語 harp on (about) something，帶輕微負面意味，指反覆嘮叨同一話題。	He keeps harping on about how things used to be better.	他一直喋喋不休地說以前的事情有多好。
harrow	noun	noun	a heavy frame with metal teeth used to break up and smooth soil	耙（農具）	農業用語，較不常見於日常對話，常見於農業或農機描述。	The farmer dragged the harrow across the field before planting.	農夫在播種前用耙子把田地拖平。
harrow	verb	verb	to distress or torment someone greatly	使痛苦；折磨	常見過去分詞 harrowing，用來形容令人痛苦的經歷，如 a harrowing experience。	The survivors were harrowed by memories of the disaster.	倖存者被這場災難的記憶深深折磨著。
harry	verb	verb	to persistently harass or pressure someone	不斷騷擾；催逼	常見於新聞或體育語境，如 harry the opposition（緊逼對手），語氣正式書面。	Journalists harried the celebrity with questions outside the courthouse.	記者們在法院外不斷逼問這位名人。
harsh	adjective	adjective	unpleasantly rough, severe, or cruel	嚴厲的；刺耳的；嚴酷的	常修飾 criticism、weather、tone 等，如 harsh criticism（嚴厲的批評）。	The teacher's harsh criticism discouraged the young student.	老師嚴厲的批評讓這位年輕學生感到氣餒。
harvest	noun	noun	the process or period of gathering crops, or the crops gathered	收成；收穫（季節）	常見 harvest season（收穫季節）；比喻用法如 reap the harvest of one's efforts。	Farmers celebrated a bountiful harvest this year.	農民們慶祝今年豐收。
harvest	verb	verb	to gather crops as they become ripe	收割；採收	及物動詞，常接作物名稱，如 harvest wheat；也可比喻性地指蒐集資料，如 harvest data。	The grapes are harvested by hand in early autumn.	葡萄在初秋時以人工方式採收。
hasten	verb	verb	to move or act quickly, or to cause something to happen sooner	趕緊；催促；加速	常見 hasten to add（趕緊補充說明）；也可接受詞，如 hasten the process（加速過程）。	She hastened to explain that she meant no offense.	她趕緊解釋自己並無冒犯之意。
hatred	noun	noun	intense dislike or ill will	憎恨；仇恨	常見 a deep hatred of，語氣強烈，比 dislike 更深刻，常見於描述長期或極端的仇恨。	Their feud was fueled by decades of mutual hatred.	他們的世仇是由數十年來相互的仇恨所助長的。
haul	verb	verb	to pull or drag something heavy with effort, or to transport goods over a distance	用力拖拉；（長途）運送	常接名詞受詞，如 haul cargo；口語常見 haul oneself out of bed（勉強起床）。	The truck hauled tons of gravel to the construction site.	這輛卡車把數噸的碎石運到工地。
haunt	noun	noun	a place frequently visited, especially one associated with pleasant memories	（常去的）地方；老地方	常見 a favorite haunt（喜愛的老地方），語氣帶懷舊感。	This little café used to be one of my favorite haunts in college.	這間小咖啡館曾是我大學時最愛去的地方之一。
haunt	verb	verb	(of a ghost) to visit a place regularly, or (of a memory or fear) to cause repeated distress	（鬼魂）出沒；（記憶或恐懼）一直困擾	常見 be haunted by memories（被記憶困擾）；也可指鬼屋等超自然脈絡。	The memory of the accident continued to haunt him for years.	那場意外的記憶多年來一直困擾著他。
haven	noun	noun	a place of safety or refuge	避風港；安全的庇護所	常見 a safe haven（安全的避風港），比喻用法非常常見。	The library became a quiet haven from the noisy city outside.	這間圖書館成了遠離城市喧囂的寧靜避風港。
hazard	noun	noun	a danger or risk	危險；危害；隱患	常見 a fire hazard（火災隱患）、health hazard（健康危害）；比 danger 更常用於書面或正式警示。	Wet floors can be a serious slip hazard.	濕滑的地板可能造成嚴重的滑倒危險。
hazardous	adjective	adjective	risky or dangerous, especially to health or safety	危險的；有害的	常見 hazardous waste（有害廢棄物）、hazardous conditions，多用於正式或安全警示語境。	Workers must wear protective gear when handling hazardous chemicals.	員工在處理危險化學物質時必須穿戴防護裝備。
headmaster	noun	noun	the head teacher of a school, especially in Britain	（英式）中小學校長	英式英語常用詞，美式英語通常用 principal；女性校長則稱 headmistress。	The headmaster addressed the students at the morning assembly.	校長在朝會上向學生們致辭。
headquarters	noun	noun	the main office or center of operations of an organization	總部；總公司	常見 company headquarters（公司總部）；作單複數同形，需視語境判斷數量。	The company recently moved its headquarters to a larger building.	這家公司最近把總部搬到了一棟更大的建築物。
heal	verb	verb	to become healthy again, or to cause a wound or condition to become healthy	（傷口）癒合；治癒	常見 heal quickly（癒合得快）；比喻用法如 time heals all wounds（時間能治癒一切傷痛）。	The wound took about two weeks to heal.	這個傷口花了大約兩週才癒合。
heap	verb	verb	to put things in a large, untidy pile, or to give a large amount of something	堆放；大量給予（讚美、責備等）	常見 heap praise on someone（大力讚揚某人）；名詞用法 a heap of clothes 也很常見。	Critics heaped praise on the director's latest film.	影評人對這位導演的最新作品大加讚揚。
heater	noun	noun	a device used to provide warmth	暖氣機；加熱器	常見 a space heater（可攜式暖爐）、water heater（熱水器）。	They turned on the heater as soon as the temperature dropped.	氣溫一下降，他們就打開了暖氣機。
heave	noun	noun	a powerful pulling, pushing, or lifting motion, or a heaving movement	用力拉（推、舉）的動作；起伏	常見 with a heave（用力一舉），描述需要出力的動作。	With one final heave, they pulled the boat onto the shore.	他們最後用力一拉，把船拖上了岸。
hectic	adjective	adjective	full of frantic activity; extremely busy	忙亂的；繁忙緊湊的	常修飾 schedule、day 等，如 a hectic schedule（緊湊忙碌的行程）。	Her days are hectic, juggling work and family responsibilities.	她的生活忙碌緊湊，要在工作與家庭責任之間兼顧。
hedge	noun	noun	a boundary formed by closely growing shrubs or bushes	樹籬；灌木籬笆	常見於花園景觀描述，如 a garden hedge；金融用語 hedge fund（避險基金）源自不同引申義。	They planted a hedge along the edge of the garden.	他們沿著花園邊緣種了一排樹籬。
hedge	verb	verb	to avoid giving a direct answer, or to protect oneself against financial loss by making balancing investments	含糊其詞；規避（風險，尤指金融）	常見 hedge one's bets（兩面下注，避免風險）；金融語境常見 hedge against inflation。	The politician hedged when asked directly about the tax increase.	被直接問到加稅問題時，這位政治人物含糊其詞地迴避了。
heed	verb	verb	to pay close attention to advice or a warning	留意；聽從（勸告或警告）	常接 advice、warning 等，如 heed the warning；語氣正式書面，日常口語較少用。	The villagers failed to heed the evacuation warning.	村民們沒有聽從撤離的警告。
heel	noun	noun	the back part of the foot, or the raised part of a shoe supporting the heel	腳跟；鞋跟	常見 high heels（高跟鞋）；比喻用法 dig in one's heels（堅持己見，不肯讓步）。	She twisted her heel while running down the stairs.	她跑下樓梯時扭傷了腳跟。
heinous	adjective	adjective	utterly odious or wicked, especially of a crime	極其邪惡的；十惡不赦的（尤指罪行）	常見於法律或新聞語境，如 a heinous crime（滔天大罪），語氣強烈正式。	He was convicted of a heinous crime that shocked the nation.	他被判犯下震驚全國的滔天大罪。
heir	noun	noun	a person legally entitled to the property or rank of another after their death	繼承人	常見 the heir to the throne（王位繼承人）；也可比喻性使用，指思想或風格的傳承者。	As the eldest son, he was the heir to his father's fortune.	身為長子，他是父親財富的繼承人。
helm	noun	noun	a wheel or handle used to steer a ship, or a position of leadership	（船的）舵；領導地位	常見比喻用法 at the helm of a company（掌舵一家公司，即擔任領導者）。	She has been at the helm of the company for over a decade.	她掌管這家公司已超過十年。
helmet	noun	noun	a hard protective hat worn to protect the head	安全帽；頭盔	常見 a bicycle helmet（自行車安全帽）、a motorcycle helmet（機車安全帽）。	Always wear a helmet when riding a motorcycle.	騎機車時務必戴安全帽。
hemisphere	noun	noun	half of the earth, usually divided by the equator or a line of longitude, or half of the brain	半球（地球或大腦）	常見 the northern hemisphere（北半球）；也指大腦的左右半球，如 the left hemisphere。	Australia is located in the southern hemisphere.	澳洲位於南半球。
hence	adverb	adverb	for this reason; therefore	因此；所以	常見於書面或正式論述，置句首或句中，如 hence, we conclude that...；口語較少使用。	The bridge is closed for repairs; hence, traffic has been rerouted.	這座橋正在維修，因此交通已改道。
herb	noun	noun	a plant used for flavoring food, medicine, or perfume	藥草；香草	常見 fresh herbs（新鮮香草）、herbal tea（草本茶）；料理與醫療語境都常見。	She grows basil and other herbs in her kitchen garden.	她在自家的廚房花園裡種植羅勒和其他香草。
herd	noun	noun	a large group of animals that live and feed together	（動物的）群	常見 a herd of cattle（一群牛）；比喻用法如 herd mentality（從眾心理），略帶負面意味。	A herd of elephants crossed the savanna at dusk.	黃昏時，一群大象穿越了草原。
herd	verb	verb	to move animals or people in a group, typically in a particular direction	驅趕（動物或人群）	常見 herd sheep（趕羊群）；比喻用法如 herd tourists onto a bus（把遊客趕上巴士）。	The dog helped herd the sheep back into the pen.	這隻狗幫忙把羊群趕回了圍欄。
hereditary	adjective	adjective	passed genetically from parent to offspring, or passed down through generations by title or right	遺傳的；世襲的	醫學語境常見 a hereditary disease（遺傳性疾病）；也可指世襲的頭銜或地位，如 a hereditary title。	The disease is hereditary and runs in her family.	這種疾病具有遺傳性，在她家族中一直存在。
heritage	noun	noun	traditions, achievements, and cultural features handed down from previous generations	文化遺產；傳統	常見 cultural heritage（文化遺產）、a rich heritage（豐富的傳統），語氣正面莊重。	The old temple is an important part of the country's cultural heritage.	這座古老的寺廟是該國文化遺產的重要組成部分。
hesitate	verb	verb	to pause before doing or saying something, often due to uncertainty	猶豫；遲疑	常接 to do something，如 hesitate to ask；不加受詞的用法也很常見，如 she hesitated。	Don't hesitate to contact us if you have any questions.	如果有任何問題，請不要猶豫，儘管與我們聯絡。
heterogeneous	adjective	adjective	consisting of dissimilar or diverse elements	異質的；由不同成分組成的	常見於學術語境，如 a heterogeneous population，與 homogeneous（同質的）相對。	The study surveyed a heterogeneous group of participants from various backgrounds.	這項研究調查了一群來自不同背景的異質參與者。
hideous	adjective	adjective	extremely ugly or unpleasant	極其醜陋的；可怕的	語氣強烈，常修飾外觀或行為，如 a hideous crime（駭人聽聞的罪行）。	The old factory left a hideous scar on the landscape.	這座老舊工廠在地景上留下了醜陋的疤痕。
hierarchy	noun	noun	a system in which people or things are ranked one above another according to status or authority	階級制度；層級體系	常見 corporate hierarchy（企業層級）、social hierarchy（社會階層）。	Employees must follow the company's reporting hierarchy.	員工必須遵循公司的層級回報制度。
highlight	noun	noun	the best or most memorable part of something	精彩部分；亮點	常見 the highlight of the trip（這趟旅程的精彩片段）；體育語境也指 game highlights（精彩鏡頭）。	Seeing the Grand Canyon was the highlight of our vacation.	看到大峽谷是我們這趟假期最精彩的部分。
highlight	verb	verb	to draw attention to or emphasize something important	強調；凸顯；標示重點	常見 highlight an issue（凸顯一個問題）；也指用螢光筆標記文字。	The report highlights several areas that need improvement.	這份報告凸顯了幾個需要改善的地方。
hike	noun	noun	a long walk, especially in the countryside, or a sudden increase (especially in price)	健行；（價格的）大幅上漲	常見 go for a hike（去健行）；也用於 a price hike（漲價），語氣中性偏口語。	They went on a hike through the mountains over the weekend.	他們週末去山裡健行。
hike	verb	verb	to walk for a long distance, especially in the countryside, or to increase something suddenly (especially a price)	健行；徒步旅行；大幅提高（尤指價格）	常見 hike a trail（沿著步道健行）；也可指漲價，如 hike prices。	The company hiked prices by ten percent last month.	這家公司上個月將價格調漲了百分之十。
hinge	noun	noun	a jointed device that allows a door, lid, or door-like part to swing	鉸鏈；合頁	常見於門窗結構描述，如 a squeaky door hinge。	The old hinge squeaked every time the door opened.	門一打開，那個老舊的鉸鏈就會發出吱嘎聲。
hinge	verb	verb	to depend entirely on a particular factor	（完全）取決於	常接 on/upon，如 hinge on the outcome，語氣正式，強調結果的關鍵決定因素。	Their success hinges on securing enough funding.	他們的成功完全取決於能否募集到足夠的資金。
hint	noun	noun	a slight or indirect indication or suggestion, or a small amount of something	暗示；線索；一絲（味道或跡象）	常見 give a hint（給個提示）、a hint of sarcasm（一絲諷刺）。	She gave him a subtle hint about the surprise party.	她給了他一個關於驚喜派對的隱約暗示。
hint	verb	verb	to suggest something indirectly	暗示；示意	常接 at，如 hint at a possibility；也可用 hint that... 的子句形式。	He hinted that he might be leaving the company soon.	他暗示自己可能很快就會離開這家公司。
hitherto	adverb	adverb	until now or until the point in time being discussed	迄今為止；直到當時	書面正式用語，常見於學術或法律文本，日常口語極少使用。	The disease was hitherto unknown to medical science.	這種疾病在此之前一直不為醫學界所知。
hoard	noun	noun	a hidden stock of money, valuables, or supplies	（藏起來的）貯藏物；私藏	常見 a hoard of treasure（一批寶藏）；也可比喻性使用，如 a hoard of information。	Archaeologists discovered a hoard of ancient coins buried underground.	考古學家發現了一批埋在地下的古代錢幣。
hoard	verb	verb	to accumulate and store away a large quantity of something, often secretly	囤積；私藏	常見 hoard food（囤積食物）、hoard cash，語氣常帶輕微負面意味，暗示過度或自私的積累。	People began to hoard supplies as soon as the storm warning was issued.	暴風警報一發布，人們就開始囤積物資。
hoarse	adjective	adjective	(of a voice) rough and harsh sounding, typically as a result of a sore throat or shouting	（聲音）沙啞的	常見 a hoarse voice、shout oneself hoarse（喊到聲音沙啞），描述聲帶受影響後的音質。	Her voice was hoarse from shouting at the concert.	她在演唱會上大喊大叫，聲音都沙啞了。
hoax	verb	verb	to deceive someone into believing something false, especially as a trick or joke	（惡作劇般地）欺騙；愚弄	常見名詞用法 a hoax（騙局），動詞較少見，多見於新聞報導揭穿騙局的語境。	The prank caller hoaxed the radio station into believing a celebrity had died.	這名惡作劇打電話者騙電台以為某位名人已經去世。
hobble	verb	verb	to walk with difficulty, typically because of pain or injury	蹣跚而行；跛行	常見於描述受傷後的行走方式，如 hobble across the room。	After the surgery, he could only hobble around with a cane.	手術後，他只能拄著拐杖蹣跚而行。
homely	adjective	adjective	simple but comfortable and cozy, or (especially American English) plain in appearance	簡樸舒適的；（美式，指人）長相平凡的	英式英語多指家常溫馨（正面），美式英語則常指容貌平凡（略帶負面），需依語境判斷。	The inn had a homely atmosphere with a fireplace and worn armchairs.	這間旅店有著溫馨的家常氛圍，還有壁爐和舊沙發椅。
homemade	adjective	adjective	made at home rather than bought from a store or factory	自製的；手工做的	常見 homemade bread（自製麵包）、homemade jam，強調非工廠量產，語氣帶溫馨感。	She brought a jar of homemade jam to the picnic.	她帶了一罐自製果醬去野餐。
homicide	noun	noun	the killing of one person by another	殺人（行為或案件）	法律用語，常見 homicide detective（凶殺案偵探）；比 murder 更中性，未必涉及蓄意謀殺。	The detective was assigned to investigate the homicide.	這名偵探被指派調查這起殺人案。
homogeneity	noun	noun	the quality of being uniform or consisting of parts that are all the same	同質性；均一性	常見於學術或統計語境，如 cultural homogeneity（文化同質性），與 heterogeneity（異質性）相對。	The study assumed a degree of homogeneity within the sample group.	這項研究假定樣本群體之間具有一定程度的同質性。
homogeneous	adjective	adjective	consisting of parts or elements that are all the same	同質的；均一的	常見 a homogeneous group、a homogeneous mixture，與 heterogeneous（異質的）相對。	The classroom was fairly homogeneous in terms of students' academic backgrounds.	這個班級在學生的學術背景上相當同質。
hone	verb	verb	to sharpen a blade, or to refine and improve a skill	磨（刀）；磨練、精進（技能）	常見 hone one's skills（磨練技能），比喻用法比字面「磨刀」更常見。	She spent years honing her craft as a novelist.	她花了多年時間磨練自己身為小說家的技藝。
honor	noun	noun	high respect or great esteem, or a sense of ethical integrity	榮譽；名譽；正直的操守	美式拼法，英式為 honour；常見 an honor to meet you、a sense of honor。	It was a great honor to receive the award in front of my colleagues.	能在同事面前領獎，我深感榮幸。
hoof	noun	noun	the hard part of the foot of animals such as horses, cattle, or deer	（馬、牛等動物的）蹄	常見於描述有蹄動物，如 a horse's hoof；複數形為 hooves 或 hoofs。	The horse's hoof struck a rock and it stumbled slightly.	那匹馬的蹄踩到石頭，稍微絆了一下。
hook	noun	noun	a curved device used for catching, holding, or pulling something	鉤子	常見 a fish hook（魚鉤）、a coat hook（掛衣鉤）；比喻用法如 off the hook（脫離困境）。	She hung her jacket on the hook by the door.	她把外套掛在門邊的掛鉤上。
horizon	noun	noun	the line where the earth's surface and the sky appear to meet, or the limit of one's knowledge or experience	地平線；（見識或經驗的）視野範圍	常見 the sun set below the horizon；比喻用法如 broaden one's horizons（拓展視野）。	Traveling abroad really broadened my horizons.	出國旅行真的拓展了我的視野。
horizontal	adjective	adjective	parallel to the ground; level, not vertical	水平的；橫向的	常見 a horizontal line（水平線），與 vertical（垂直的）相對，多用於幾何或設計語境。	The chart uses a horizontal axis to represent time.	這張圖表用水平軸來表示時間。
