lemma	sense	register	grammarPatterns
widow	noun	formal	["become a widow","the widow of + noun"]
widow	verb	formal	["be widowed","be widowed by + noun"]
width	noun	technical,neutral	["the width of + noun","measure the width"]
wilderness	noun	literary,academic	["in the wilderness","miles of wilderness"]
wildlife	noun	academic,neutral	["protect wildlife","wildlife + noun"]
willful	adjective	formal,technical	["willful + noun","a willful refusal to + verb"]
wilt	verb	neutral,literary	["wilt in + noun","begin to wilt"]
wilt	noun	technical	["signs of wilt","wilt disease"]
wince	verb	neutral,literary	["wince at + noun","wince in pain"]
wince	noun	literary,neutral	["give a wince","a wince of + noun"]
wistful	adjective	literary,formal	["a wistful + noun","be wistful about + noun"]
witch	noun	literary,neutral	["a wicked witch","the witch in + noun"]
withdraw	verb	formal,business	["withdraw + noun","withdraw from + noun","withdraw money from + noun"]
withdrawal	noun	formal,business	["a withdrawal from + noun","the withdrawal of + noun"]
withhold	verb	formal,business	["withhold + noun","withhold sth from sb"]
witness	noun	formal,technical	["a witness to + noun","call a witness"]
wobble	verb	informal	["wobble from side to side","start to wobble"]
wobble	noun	informal	["a slight wobble","a wobble in + noun"]
wool	noun	neutral	["be made of wool","a wool + noun"]
worldwide	adjective	business,formal	["a worldwide + noun","on a worldwide scale"]
worm	noun	neutral,technical	["a computer worm","dig up worms"]
worship	noun	formal,literary	["a place of worship","gather for worship"]
worship	verb	formal	["worship + noun","worship at + noun"]
worthwhile	adjective	formal	["be worthwhile","it is worthwhile to + verb","worthwhile + V-ing"]
worthy	noun	literary,formal	["local worthies","the assembled worthies"]
worthy	adjective	formal,literary	["be worthy of + noun","a worthy + noun"]
wrap	noun	informal	["a + noun + wrap","a wrap of + noun"]
wrap	verb	neutral	["wrap sth in + noun","wrap sth around + noun"]
wreak	verb	formal,literary	["wreak havoc on + noun","wreak + noun"]
wrench	noun	neutral,technical	["tighten sth with a wrench","be a real wrench for sb"]
wrench	verb	neutral,literary	["wrench sth open","wrench sth from sb"]
wrestle	verb	formal	["wrestle with + noun","wrestle sb to the ground"]
wrestle	noun	informal	["have a wrestle with sb","a friendly wrestle"]
wrist	noun	neutral,technical	["sprain one's wrist","around sb's wrist"]
yacht	noun	neutral	["sail a yacht","on board a yacht"]
yacht	verb	informal	["yacht along + noun","yacht around + noun"]
yell	verb	informal,spoken	["yell at sb","yell for + noun"]
yield	noun	business,academic	["a high yield","the yield on + noun"]
yield	verb	formal,business	["yield + noun","yield to + noun","yield results"]
youngster	noun	informal	["a group of youngsters","youngsters aged + noun"]
zealot	noun	formal,literary	["a religious zealot","a zealot for + noun"]
zone	noun	neutral,technical	["a + noun + zone","within the zone"]
